Month,CRCode,CRName,SDName,latitude,longitude,Max Hashrate,Min Hashrate,Avg Hashrate
201806,AND,Andorra,Encamp,42.54277039,1.733610034,3.611081244,0.021990233,0.602585821
201806,AND,Andorra,Escaldes-Engordany,42.50728989,1.534139991,659.4878888,0.000814453,49.63272111
201806,AND,Andorra,Ordino,42.61858749,1.538869977,0.136115467,0.012216796,0.053787837
201806,ARE,United Arab Emirates,'Ajman,25.41110992,55.43503952,21.56345915,15.84029752,21.01712404
201806,ARE,United Arab Emirates,Abu Zaby,24.46666908,54.3666687,66.14488881,32.16222949,47.11887301
201806,ARE,United Arab Emirates,Abu Zaby,24.19166946,55.76055908,420.1274652,126.6629251,318.2161009
201806,ARE,United Arab Emirates,Ash Shariqah,25.35730934,55.40330124,158.740426,80.83700795,140.6402133
201806,ARE,United Arab Emirates,Dubayy,25.25816917,55.30472183,307.6627381,114.3842308,231.1397967
201806,ARE,United Arab Emirates,Ra's al Khaymah,25.7895298,55.94319916,94.41392133,0.925218673,31.93959146
201806,ALB,Albania,Durres,41.32305908,19.44138908,14.08352227,3.129128647,11.64550795
201806,ALB,Albania,Kukes,42.07693863,20.42193985,38.44363188,0,16.22586654
201806,ALB,Albania,Tirane,41.32749939,19.81888962,346.0279248,251.7739862,305.8305021
201806,ARM,Armenia,-,40.18111038,44.51361084,782.7382555,577.1407799,755.1050799
201806,ARM,Armenia,Aragacotn,40.38428116,43.87387085,9.08848167,3.327447967,5.826732916
201806,ARM,Armenia,Aragacotn,40.32886887,43.91847992,0.066785151,0.01058789,0.03178218
201806,ARM,Armenia,Ararat,40.15876007,44.43915939,13.89619807,0.014660155,1.473701904
201806,ARM,Armenia,Ararat,39.96514893,44.55936813,14.1161004,4.24330043,12.72117831
201806,ARM,Armenia,Erevan,40.18111038,44.51361084,4389.48297,1752.019682,2064.240767
201806,ARM,Armenia,Kotayk',40.26741028,44.62656021,110.0415671,71.75820109,92.89967176
201806,ARM,Armenia,Kotayk',40.49747849,44.76620102,37.54791486,14.77417847,35.30465069
201806,ARM,Armenia,Sirak,40.7942009,43.84527969,79.15017705,46.8001016,73.72551924
201806,ARM,Armenia,Sirak,40.7800293,43.90026856,207.6594672,141.7424216,185.3481856
201806,ARM,Armenia,Sirak,40.65013123,43.97755814,4.872058191,0.015474608,3.323770202
201806,AGO,Angola,Luanda,-8.836819649,13.23431969,820.8311413,482.1038751,708.8354493
201806,ARG,Argentina,Buenos Aires,-34.66666794,-58.66666794,27.67572892,13.69736335,25.07020854
201806,ARG,Argentina,Buenos Aires,-34.8956604,-60.01667023,14.2512996,0.066785151,13.41161735
201806,ARG,Argentina,Ciudad Autonoma de Buenos Aires,-34.61315155,-58.3772316,193.4619788,157.1159485,183.4933628
201806,ARG,Argentina,Misiones,-27.36708069,-55.89608002,18.57604534,3.221976296,16.77419433
201806,AUT,Austria,Burgenland,47.84999847,16.51667023,2179.603437,2111.829133,2153.804045
201806,AUT,Austria,Burgenland,47.94900894,16.8416996,756.7376561,744.4377861,748.9096882
